epoch,branch1_3class_branch1_accuracy,branch1_3class_loss,branch2_4class_branch2_accuracy,branch2_4class_loss,fusion_output_fusion_accuracy,fusion_output_loss,learning_rate,loss,val_branch1_3class_branch1_accuracy,val_branch1_3class_loss,val_branch2_4class_branch2_accuracy,val_branch2_4class_loss,val_fusion_output_fusion_accuracy,val_fusion_output_loss,val_loss
0,0.6735854148864746,0.8206707239151001,0.6559568047523499,0.9707017540931702,0.6542508006095886,0.9683350324630737,0.0010000000474974513,0.9249648451805115,0.5405046343803406,1.0566033124923706,0.40703850984573364,1.228054165840149,0.37915006279945374,1.259283185005188,1.1972558498382568
1,0.7691214084625244,0.5859810709953308,0.7745237350463867,0.6304128766059875,0.7674154043197632,0.6209909319877625,0.0010000000474974513,0.6140696406364441,0.383134126663208,2.186262845993042,0.46148738265037537,2.007766008377075,0.3771580457687378,1.9054265022277832,2.0236270427703857
2,0.8251350522041321,0.44690296053886414,0.8291157484054565,0.46427538990974426,0.8276940584182739,0.4707080125808716,0.0010000000474974513,0.4610002040863037,0.32403719425201416,4.310432434082031,0.3260292112827301,4.10992956161499,0.32403719425201416,6.685548305511475,4.908647537231445
3,0.8521467447280884,0.38522863388061523,0.8512937426567078,0.3973694145679474,0.8515780568122864,0.3997816741466522,0.0010000000474974513,0.39444851875305176,0.3844621479511261,2.5633621215820312,0.4096945524215698,2.6239120960235596,0.3917662799358368,3.0543746948242188,2.7308244705200195
4,0.8586863875389099,0.3557415306568146,0.8683537244796753,0.3585788607597351,0.8558430671691895,0.3677539527416229,0.0010000000474974513,0.36043423414230347,0.762948215007782,0.5910268425941467,0.5723771452903748,0.859881579875946,0.6102257370948792,0.8876395225524902,0.7871636748313904
5,0.8800113797187805,0.3078121244907379,0.882286012172699,0.3112308084964752,0.8859823942184448,0.31197378039360046,0.0010000000474974513,0.31044235825538635,0.34993359446525574,5.788698196411133,0.34860557317733765,5.7062201499938965,0.35126161575317383,5.966384410858154,5.730859279632568
6,0.8785896897315979,0.3053217828273773,0.882286012172699,0.3079102039337158,0.8785896897315979,0.3127838373184204,0.0010000000474974513,0.3085446357727051,0.5464807152748108,1.775551199913025,0.5438246726989746,2.061246395111084,0.5451527237892151,1.9787845611572266,1.9776147603988647
7,0.886551022529602,0.28569409251213074,0.8911003470420837,0.28769975900650024,0.886551022529602,0.2964951694011688,0.0010000000474974513,0.2896142601966858,0.6241700053215027,1.9382165670394897,0.6181938648223877,2.3902413845062256,0.6102257370948792,2.382530927658081,2.259042739868164
8,0.8993460536003113,0.25788581371307373,0.89764004945755,0.2559055685997009,0.8990616798400879,0.2576027512550354,0.0010000000474974513,0.25704270601272583,0.5225763320922852,2.4186370372772217,0.5305444598197937,2.489990472793579,0.5338645577430725,3.0783684253692627,2.6977739334106445
9,0.9112880229949951,0.2298433780670166,0.9087290167808533,0.2329033613204956,0.9135627150535583,0.23670171201229095,0.0010000000474974513,0.23304888606071472,0.8452855348587036,0.39642104506492615,0.8379814028739929,0.419460654258728,0.8399734497070312,0.43127989768981934,0.42422133684158325
10,0.9115723371505737,0.22373683750629425,0.9135627150535583,0.2219391167163849,0.9092977046966553,0.23040977120399475,0.0010000000474974513,0.22504495084285736,0.636786162853241,1.725127100944519,0.6693227291107178,1.7055168151855469,0.6560425162315369,1.7674156427383423,1.764417290687561
11,0.9186806678771973,0.2066294401884079,0.9209553599357605,0.20912215113639832,0.9161217212677002,0.210099458694458,0.0010000000474974513,0.208641916513443,0.38247013092041016,3.9131009578704834,0.38114210963249207,3.6268911361694336,0.3844621479511261,3.895587205886841,3.650984048843384
12,0.924367368221283,0.19190219044685364,0.924367368221283,0.19994108378887177,0.9232300519943237,0.19859187304973602,0.0010000000474974513,0.19716787338256836,0.7250996232032776,0.8808861374855042,0.7084993124008179,1.005698800086975,0.7177954912185669,0.9858134388923645,0.978838324546814
13,0.9340347051620483,0.1745973527431488,0.9357407093048096,0.17380310595035553,0.9351720213890076,0.17797914147377014,0.0010000000474974513,0.17535662651062012,0.8240371942520142,0.40918484330177307,0.818061113357544,0.42741695046424866,0.8353253602981567,0.410207062959671,0.42356571555137634
14,0.9382997155189514,0.16948163509368896,0.934319019317627,0.17079797387123108,0.9354563355445862,0.17703184485435486,0.0010000000474974513,0.1722942590713501,0.666002631187439,1.3474129438400269,0.6666666865348816,1.4692798852920532,0.671978771686554,1.459967017173767,1.4584035873413086
15,0.9365937113761902,0.15379737317562103,0.9371623396873474,0.15937140583992004,0.9351720213890076,0.16205336153507233,0.0010000000474974513,0.15855227410793304,0.8565737009048462,0.4684203565120697,0.8559097051620483,0.5102970004081726,0.8559097051620483,0.49443554878234863,0.5027898550033569
16,0.949104368686676,0.13350142538547516,0.9525163769721985,0.13244524598121643,0.9465453624725342,0.13889780640602112,0.0010000000474974513,0.13474714756011963,0.798804759979248,0.680759847164154,0.7861886024475098,0.7467319965362549,0.7855245471000671,0.7951686382293701,0.7546833157539368
17,0.944839358329773,0.13738712668418884,0.945408046245575,0.13282988965511322,0.9473983645439148,0.13883769512176514,0.0010000000474974513,0.1360570788383484,0.788844645023346,0.7820633053779602,0.8007968068122864,0.7827336192131042,0.7961487174034119,0.7535683512687683,0.7891942262649536
18,0.9522320032119751,0.1259627789258957,0.9516633749008179,0.12755641341209412,0.9499573707580566,0.13101600110530853,0.0010000000474974513,0.12820443511009216,0.6228419542312622,1.5154911279678345,0.6440902948379517,1.4479902982711792,0.6347941756248474,1.5421465635299683,1.488057255744934
