epoch,branch1_3class__masked_sparse_accuracy,branch1_3class_loss,branch2_4class_branch2_accuracy,branch2_4class_loss,fusion_output_fusion_accuracy,fusion_output_loss,learning_rate,loss,val_branch1_3class__masked_sparse_accuracy,val_branch1_3class_loss,val_branch2_4class_branch2_accuracy,val_branch2_4class_loss,val_fusion_output_fusion_accuracy,val_fusion_output_loss,val_loss
0,0.6457875967025757,0.8681130409240723,0.6544641256332397,0.9444399476051331,0.6406345367431641,0.9547187685966492,0.0010000000474974513,0.9245885014533997,0.25757575035095215,3.592115879058838,0.32478633522987366,3.267773389816284,0.31196582317352295,3.435807943344116,3.4251925945281982
1,0.7450291514396667,0.6081463694572449,0.7547284960746765,0.6230930685997009,0.7604230046272278,0.6246551275253296,0.0010000000474974513,0.6188181042671204,0.3111792206764221,1.2023009061813354,0.2849002778530121,3.8394501209259033,0.2849002778530121,3.2868740558624268,2.8786962032318115
2,0.8024645447731018,0.5027329325675964,0.8059792518615723,0.513669490814209,0.8008948564529419,0.5161864757537842,0.0010000000474974513,0.5107805728912354,0.2542613744735718,0.9301161766052246,0.2858499586582184,5.587133407592773,0.28537511825561523,4.42249059677124,3.8404695987701416
3,0.8299509882926941,0.4295479953289032,0.8397396802902222,0.43202725052833557,0.8314012885093689,0.43786823749542236,0.0010000000474974513,0.43234866857528687,0.38700708746910095,0.667323112487793,0.4297246038913727,1.5648878812789917,0.42022791504859924,1.6044625043869019,1.3019636869430542
4,0.8439149856567383,0.40432053804397583,0.8562131524085999,0.3920922577381134,0.8470612168312073,0.40161287784576416,0.0010000000474974513,0.39785218238830566,0.45322322845458984,0.7146764397621155,0.539411187171936,1.2559566497802734,0.517568826675415,1.3241854906082153,1.112683653831482
5,0.8542655110359192,0.3717031478881836,0.863534688949585,0.3650026321411133,0.8570266366004944,0.3785928189754486,0.0010000000474974513,0.3702782690525055,0.42192184925079346,0.7157570123672485,0.49762582778930664,1.488182544708252,0.5085470080375671,1.342681884765625,1.2105003595352173
6,0.8698796033859253,0.3335038423538208,0.8749237060546875,0.33855491876602173,0.8749237060546875,0.340179979801178,0.0010000000474974513,0.3372185230255127,0.38591268658638,0.7039096355438232,0.3176638185977936,3.924960136413574,0.3095916509628296,3.6672773361206055,2.8728420734405518
7,0.8742621541023254,0.3170393407344818,0.8791946172714233,0.3187394440174103,0.8743135929107666,0.32270196080207825,0.0010000000474974513,0.31879958510398865,0.33820000290870667,0.9515911340713501,0.5071225166320801,1.5974674224853516,0.5090218186378479,1.58575439453125,1.395202875137329
8,0.8860307335853577,0.29129868745803833,0.8916005492210388,0.2882551848888397,0.8911938071250916,0.2971010208129883,0.0010000000474974513,0.29115208983421326,0.32818442583084106,1.8170435428619385,0.5208926796913147,2.365743637084961,0.5246913433074951,2.23740553855896,2.154155731201172
9,0.9009726643562317,0.26658403873443604,0.9052267670631409,0.26143956184387207,0.9007524847984314,0.2663062810897827,0.0010000000474974513,0.26376062631607056,0.46441277861595154,0.6884570717811584,0.6785374879837036,1.101736068725586,0.6794871687889099,1.0866645574569702,0.9730527400970459
10,0.9035310745239258,0.25476619601249695,0.9058368802070618,0.2535710632801056,0.9017693996429443,0.25747305154800415,0.0010000000474974513,0.2546646296977997,0.2762908637523651,2.2459940910339355,0.5071225166320801,2.587329864501953,0.5090218186378479,2.5444486141204834,2.462641716003418
11,0.911062479019165,0.22521363198757172,0.9141753315925598,0.23439474403858185,0.9090909361839294,0.2408284991979599,0.0010000000474974513,0.2332162857055664,0.6029582023620605,0.33117595314979553,0.8319088220596313,0.5675616264343262,0.8290598392486572,0.5781329274177551,0.4991302192211151
12,0.9235402941703796,0.19228024780750275,0.9278014898300171,0.20635096728801727,0.923123836517334,0.21109849214553833,0.0010000000474974513,0.20292215049266815,0.6605218052864075,0.1925783008337021,0.8793922066688538,0.4077710807323456,0.8770180344581604,0.44323304295539856,0.3543943166732788
13,0.9264037609100342,0.19510869681835175,0.9249542355537415,0.20538142323493958,0.9227170944213867,0.20770376920700073,0.0010000000474974513,0.202617347240448,0.6279832124710083,0.26260051131248474,0.857075035572052,0.4323834478855133,0.8547008633613586,0.4221010208129883,0.3791573941707611
14,0.9318724870681763,0.17077450454235077,0.9349196553230286,0.175558939576149,0.9339028000831604,0.18268577754497528,0.0010000000474974513,0.17556405067443848,0.3777438700199127,1.700353980064392,0.5897436141967773,2.1765799522399902,0.5897436141967773,2.18266224861145,2.0244901180267334
15,0.9478930234909058,0.1403495818376541,0.9477323293685913,0.14145737886428833,0.9489526152610779,0.14502152800559998,0.0010000000474974513,0.14164771139621735,0.5374801158905029,0.7156662940979004,0.7573599219322205,1.0029869079589844,0.7583096027374268,1.028377890586853,0.9270325899124146
16,0.9548302888870239,0.13268661499023438,0.9465121030807495,0.1502222865819931,0.944681704044342,0.1496044099330902,0.0010000000474974513,0.1441013067960739,0.5965920686721802,0.4258202016353607,0.8124406337738037,0.7008634209632874,0.811965823173523,0.7063924670219421,0.6217648386955261
17,0.9489841461181641,0.13769318163394928,0.94203782081604,0.1515391618013382,0.9426479339599609,0.1572096347808838,0.0010000000474974513,0.1483907699584961,0.4665190279483795,0.9527307748794556,0.7013295292854309,1.1165727376937866,0.6737892031669617,1.2139478921890259,1.0956933498382568
18,0.9710999727249146,0.09225495159626007,0.9650193452835083,0.1054907962679863,0.9637990593910217,0.10817871987819672,0.0005000000237487257,0.1019655168056488,0.6641758680343628,0.23791910707950592,0.9026590585708618,0.3852563798427582,0.8988603949546814,0.39485666155815125,0.3449043333530426
19,0.9775564074516296,0.06506742537021637,0.9717307090759277,0.07931320369243622,0.9715273380279541,0.07989180088043213,0.0005000000237487257,0.07527770102024078,0.6281149983406067,0.39189666509628296,0.8679962158203125,0.480570912361145,0.8689458966255188,0.500515341758728,0.4612610638141632
20,0.9796830415725708,0.05457042157649994,0.9790522456169128,0.06241957098245621,0.9776286482810974,0.06797231733798981,0.0005000000237487257,0.06175793334841728,0.6791018843650818,0.1814429759979248,0.9292497634887695,0.2609429657459259,0.9254510998725891,0.2764643728733063,0.24243730306625366
21,0.9899429678916931,0.0358223095536232,0.9823063015937805,0.052338384091854095,0.9818995594978333,0.05309899523854256,0.0005000000237487257,0.04768555983901024,0.6550810933113098,0.27595359086990356,0.8884140253067017,0.40854930877685547,0.8860399127006531,0.4203171133995056,0.3733607232570648
22,0.9872481226921082,0.0363030843436718,0.983119785785675,0.04870564118027687,0.9816961288452148,0.051012251526117325,0.0005000000237487257,0.045671142637729645,0.6490243077278137,0.30413350462913513,0.8475783467292786,0.6102985143661499,0.8471035361289978,0.6357985138893127,0.5269895792007446
23,0.9785401821136475,0.059198182076215744,0.9764083623886108,0.071080781519413,0.972544252872467,0.07545064389705658,0.0005000000237487257,0.06890246272087097,0.5168460607528687,1.2953282594680786,0.7307692170143127,1.5356730222702026,0.7264957427978516,1.5691490173339844,1.4778106212615967
24,0.9821603894233704,0.04790014773607254,0.9800691604614258,0.05597865581512451,0.9792556166648865,0.05721891671419144,0.0005000000237487257,0.053876906633377075,0.6315789818763733,0.4705536961555481,0.8390313386917114,0.7423245310783386,0.8433048725128174,0.7452786564826965,0.6635613441467285
25,0.9838461875915527,0.0477704182267189,0.9796624183654785,0.056978169828653336,0.9780353903770447,0.060807108879089355,0.0005000000237487257,0.055411383509635925,0.6419956088066101,0.3371567726135254,0.8727445602416992,0.49626970291137695,0.874643862247467,0.4866860806941986,0.4469298720359802
26,0.9936448335647583,0.019607719033956528,0.991051435470581,0.026482531800866127,0.9912548065185547,0.02667579986155033,0.0002500000118743628,0.024460960179567337,0.6897439956665039,0.1589745730161667,0.9420702457427979,0.22789578139781952,0.9425451159477234,0.23048613965511322,0.20858816802501678
27,0.9966953992843628,0.011373752728104591,0.9955257177352905,0.01788181997835636,0.9957290887832642,0.016453461721539497,0.0002500000118743628,0.015459741465747356,0.6875261068344116,0.16955459117889404,0.9430199265480042,0.2362707108259201,0.9434947967529297,0.24143341183662415,0.21842500567436218
28,0.9974031448364258,0.011862792074680328,0.9955257177352905,0.017632510513067245,0.9949156045913696,0.017890499904751778,0.0002500000118743628,0.015980189666152,0.6862801313400269,0.1604849100112915,0.9382715821266174,0.24235618114471436,0.9392212629318237,0.2539553940296173,0.22190462052822113
29,0.9971287846565247,0.009965486824512482,0.9961358308792114,0.013048681430518627,0.9965426325798035,0.013067806139588356,0.0002500000118743628,0.012147102504968643,0.6676397323608398,0.25030088424682617,0.9178537726402283,0.3294766843318939,0.9173789024353027,0.3556191027164459,0.3144581913948059
30,0.9969678521156311,0.00986410677433014,0.9957290887832642,0.015257841907441616,0.9955257177352905,0.01610022410750389,0.0002500000118743628,0.013911854475736618,0.6792181134223938,0.221856489777565,0.9306742548942566,0.31232571601867676,0.9297245740890503,0.32863885164260864,0.29075223207473755
31,0.9957903623580933,0.016565117985010147,0.9926784634590149,0.022423263639211655,0.9936953186988831,0.021847356110811234,0.0002500000118743628,0.020527860149741173,0.6836670637130737,0.15989142656326294,0.93304842710495,0.2468731850385666,0.9335232377052307,0.2562006413936615,0.224192813038826
32,0.9978001713752747,0.00699537992477417,0.9975594878196716,0.011180246248841286,0.9971527457237244,0.011442846618592739,0.0002500000118743628,0.009972309693694115,0.6719996333122253,0.27538785338401794,0.9292497634887695,0.3284047544002533,0.9278252720832825,0.3479929566383362,0.31928306818008423
33,0.9988014101982117,0.004220863804221153,0.9989831447601318,0.00680861622095108,0.9985763430595398,0.006620661821216345,0.0001250000059371814,0.005973311606794596,0.6879996061325073,0.19418779015541077,0.9449192881584167,0.25550317764282227,0.9434947967529297,0.2708030641078949,0.242387056350708
34,1.0,0.0025770075153559446,0.9989831447601318,0.005921124946326017,0.9991865158081055,0.005280079320073128,0.0001250000059371814,0.004718604031950235,0.6869031190872192,0.19779978692531586,0.9420702457427979,0.2627178132534027,0.9425451159477234,0.2773403525352478,0.24833457171916962
35,1.0,0.0027210291009396315,0.9983729720115662,0.005977614317089319,0.9987797141075134,0.004957123193889856,0.0001250000059371814,0.004697921685874462,0.6849331855773926,0.22950389981269836,0.9392212629318237,0.27407246828079224,0.9392212629318237,0.2961989641189575,0.2681015133857727
36,0.9997048377990723,0.002305699046701193,0.9993898868560791,0.003988077398389578,0.9997966289520264,0.002951724221929908,0.0001250000059371814,0.0031677414663136005,0.684685230255127,0.19926777482032776,0.9425451159477234,0.26392874121665955,0.9406457543373108,0.28178781270980835,0.25060006976127625
37,0.9987856149673462,0.0033453626092523336,0.9991865158081055,0.004540364723652601,0.9993898868560791,0.003563688136637211,0.0001250000059371814,0.0038873529992997646,0.6826417446136475,0.24917981028556824,0.9392212629318237,0.3205913305282593,0.9373219609260559,0.34410154819488525,0.3070933222770691
